PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36825056","Effect of Levodopa and Environmental Setting on Gait and Turning Digital Markers Related to Falls in People with Parkinson's Disease","Shah VV, McNames J, Carlson-Kuhta P, Nutt JG, El-Gohary M, Sowalsky K, Mancini M, Horak FB.","Mov Disord Clin Pract. 2022 Nov 4;10(2):223-230. doi: 10.1002/mdc3.13601. eCollection 2023 Feb.","Shah VV","Mov Disord Clin Pract","2022","2023/02/24","PMC9941945","","10.1002/mdc3.13601"
"33031131","Parkinson Disease and Occupational and Environmental Exposure to Pesticides in a Region of Intense Agribusiness Activity in Brazil: A Case-Control Study","Silvestre GCSB, Ferreira MJM, Figueiredo SEFMR, Silva CALD, Siqueira HH, Silva AMCD.","J Occup Environ Med. 2020 Dec;62(12):e732-e737. doi: 10.1097/JOM.0000000000002043.","Silvestre GCSB","J Occup Environ Med","2020","2020/10/08","","","10.1097/JOM.0000000000002043"
"32339969","Does perceived control mediate the relationship between stigma and well-being for individuals with Parkinson's disease?","Verity D, Eccles FJR, Boland A, Simpson J.","J Neurol Sci. 2020 Jul 15;414:116841. doi: 10.1016/j.jns.2020.116841. Epub 2020 Apr 17.","Verity D","J Neurol Sci","2020","2020/04/28","","","10.1016/j.jns.2020.116841"
"38894948","Statin use and risk of Parkinson's disease among older adults in Japan: a nested case-control study using the Longevity Improvement and Fair Evidence study","Ge S, Zha L, Kimura Y, Shimomura Y, Komatsu M, Gon Y, Komukai S, Murata F, Maeda M, Kiyohara K, Sobue T, Kitamura T, Fukuda H.","Brain Commun. 2024 Jun 4;6(3):fcae195. doi: 10.1093/braincomms/fcae195. eCollection 2024.","Ge S","Brain Commun","2024","2024/06/19","PMC11184346","","10.1093/braincomms/fcae195"
"36352842","A Community-based study on the prevalence and predisposing factors of Parkinson's disease in Barangay Mangilag Sur, Quezon Province, Philippines","Rosales RL, Camille E Rosales M, Jane S J Robles D, Christian Neil T Rodriguez R, Beatrice S Romana N, Mariuz B Rosales J, Salazar GB, Ann S Santiano R.","Clin Park Relat Disord. 2022 Oct 26;7:100169. doi: 10.1016/j.prdoa.2022.100169. eCollection 2022.","Rosales RL","Clin Park Relat Disord","2022","2022/11/10","PMC9637797","","10.1016/j.prdoa.2022.100169"
"35391750","Investigating the Impact of Environment and Data Aggregation by Walking Bout Duration on Parkinson's Disease Classification Using Machine Learning","Rehman RZU, Guan Y, Shi JQ, Alcock L, Yarnall AJ, Rochester L, Del Din S.","Front Aging Neurosci. 2022 Mar 22;14:808518. doi: 10.3389/fnagi.2022.808518. eCollection 2022.","Rehman RZU","Front Aging Neurosci","2022","2022/04/08","PMC8981298","","10.3389/fnagi.2022.808518"
"35230633","Improved neuroprotective activity of Fisetin through SNEDDS in ameliorating the behavioral alterations produced in rotenone-induced Parkinson's model","Kumar R, Kumar R, Khurana N, Singh SK, Khurana S, Verma S, Sharma N, Vyas M, Dua K, Khursheed R, Awasthi A, Vishwas S.","Environ Sci Pollut Res Int. 2022 Jul;29(33):50488-50499. doi: 10.1007/s11356-022-19428-z. Epub 2022 Mar 1.","Kumar R","Environ Sci Pollut Res Int","2022","2022/03/01","","","10.1007/s11356-022-19428-z"
"34921567","Long non-coding RNA ANRIL interacts with microRNA-34a and microRNA-125a, and they all correlate with disease risk and severity of Parkinson's disease","Yang P, Lin G, Wang M, Chen X, Huang J.","J Clin Lab Anal. 2022 Jan;36(1):e24037. doi: 10.1002/jcla.24037. Epub 2021 Dec 17.","Yang P","J Clin Lab Anal","2022","2021/12/18","PMC8761463","","10.1002/jcla.24037"
"36458742","Escape, expand, embrace: the transformational lived experience of rediscovering the self and the other while dancing with Parkinson's or Multiple Sclerosis","Carapellotti AM, Meijerink HJEM, Gravemaker-Scott C, Thielman L, Kool R, Lewin N, Abma TA.","Int J Qual Stud Health Well-being. 2023 Dec;18(1):2143611. doi: 10.1080/17482631.2022.2143611.","Carapellotti AM","Int J Qual Stud Health Well-being","2023","2022/12/02","PMC9721429","","10.1080/17482631.2022.2143611"
"34365911","Does cybersickness affect virtual reality training using the Computer Assisted Rehabilitation Environment (CAREN)? Preliminary results from a case-control study in Parkinson's disease","Impellizzeri F, Naro A, Basile G, Bramanti A, Gazia F, Galletti F, Militi D, Petralito F, Calabrò RS, Milardi D.","Physiother Theory Pract. 2022 Nov;38(13):2603-2611. doi: 10.1080/09593985.2021.1964117. Epub 2021 Aug 7.","Impellizzeri F","Physiother Theory Pract","2022","2021/08/09","","","10.1080/09593985.2021.1964117"
"34886289","Perceived Health, Psychological Distress, and Subjective Well-Being among Older Adults with Parkinson's Disease: A Cross-Lagged Analysis","Lee S.","Int J Environ Res Public Health. 2021 Nov 29;18(23):12566. doi: 10.3390/ijerph182312566.","Lee S","Int J Environ Res Public Health","2021","2021/12/10","PMC8657129","","10.3390/ijerph182312566"
"38014294","The Parkinson's drug entacapone disrupts gut microbiome homeostasis via iron sequestration","Pereira FC, Ge X, Kristensen JM, Kirkegaard RH, Maritsch K, Zhu Y, Decorte M, Hausmann B, Berry D, Wasmund K, Schintlmeister A, Boettcher T, Cheng JX, Wagner M.","bioRxiv [Preprint]. 2023 Nov 13:2023.11.12.566429. doi: 10.1101/2023.11.12.566429.","Pereira FC","bioRxiv","2023","2023/11/28","PMC10680583","","10.1101/2023.11.12.566429"
"32722623","Reduced Gray Matter Volume and Risk of Falls in Parkinson's Disease with Dementia Patients: A Voxel-Based Morphometry Study","Cheng KL, Lin LH, Chen PC, Chiang PL, Chen YS, Chen HL, Chen MH, Chou KH, Li SH, Lu CH, Lin WC.","Int J Environ Res Public Health. 2020 Jul 26;17(15):5374. doi: 10.3390/ijerph17155374.","Cheng KL","Int J Environ Res Public Health","2020","2020/07/30","PMC7432132","","10.3390/ijerph17155374"
"40970415","Prevalence of Parkinson's Disease in a Town of the Central Highlands of Peru: A Population-Based Study","Sarapura-Castro E, Milla-Neyra K, Ríos-Pinto J, Maguiña JL, Rivera-Valdivia A, Inca-Martinez M, Illanes-Manrique M, Galecio-Castillo M, Montano S, Mata IF, Cornejo-Olivas M.","Mov Disord Clin Pract. 2026 Mar;13(3):692-701. doi: 10.1002/mdc3.70354. Epub 2025 Sep 19.","Sarapura-Castro E","Mov Disord Clin Pract","2026","2025/09/19","PMC12919289","NIHMS2140697","10.1002/mdc3.70354"
"39229100","Peripheral Blood Immune Cells from Individuals with Parkinson's Disease or Inflammatory Bowel Disease Share Deficits in Iron Storage and Transport that are Modulated by Non-Steroidal Anti-Inflammatory Drugs","Bolen ML, Nuñes Gomes B, Gill B, Menees KB, Staley H, Jernigan J, Tansey MG.","bioRxiv [Preprint]. 2024 Aug 19:2024.08.19.608634. doi: 10.1101/2024.08.19.608634.","Bolen ML","bioRxiv","2024","2024/09/04","PMC11370434","","10.1101/2024.08.19.608634"
"33887276","Pesticides expenditures by farming type and incidence of Parkinson disease in farmers: A French nationwide study","Perrin L, Spinosi J, Chaperon L, Kab S, Moisan F, Ebaz A.","Environ Res. 2021 Jun;197:111161. doi: 10.1016/j.envres.2021.111161. Epub 2021 Apr 19.","Perrin L","Environ Res","2021","2021/04/22","","","10.1016/j.envres.2021.111161"
"33383608","Functional connectivity between resting-state networks reflects decline in executive function in Parkinson's disease: A longitudinal fMRI study","Boon LI, Hepp DH, Douw L, van Geenen N, Broeders TAA, Geurts JJG, Berendse HW, Schoonheim MM.","Neuroimage Clin. 2020;28:102468. doi: 10.1016/j.nicl.2020.102468. Epub 2020 Oct 15.","Boon LI","Neuroimage Clin","2020","2021/01/01","PMC7581965","","10.1016/j.nicl.2020.102468"
"32552814","Occupational pesticide exposure and the risk of death in patients with Parkinson's disease: an observational study in southern Brazil","Schneider Medeiros M, P Reddy S, P Socal M, Schumacher-Schuh AF, Mello Rieder CR.","Environ Health. 2020 Jun 17;19(1):68. doi: 10.1186/s12940-020-00624-8.","Schneider Medeiros M","Environ Health","2020","2020/06/20","PMC7298782","","10.1186/s12940-020-00624-8"
"38332372","FastEval Parkinsonism: an instant deep learning-assisted video-based online system for Parkinsonian motor symptom evaluation","Yang YY, Ho MY, Tai CH, Wu RM, Kuo MC, Tseng YJ.","NPJ Digit Med. 2024 Feb 8;7(1):31. doi: 10.1038/s41746-024-01022-x.","Yang YY","NPJ Digit Med","2024","2024/02/09","PMC10853559","","10.1038/s41746-024-01022-x"
"33442579","Precompetitive Consensus Building to Facilitate the Use of Digital Health Technologies to Support Parkinson Disease Drug Development through Regulatory Science","Stephenson D, Alexander R, Aggarwal V, Badawy R, Bain L, Bhatnagar R, Bloem BR, Boroojerdi B, Burton J, Cedarbaum JM, Cosman J, Dexter DT, Dockendorf M, Dorsey ER, Dowling AV, Evers LJW, Fisher K, Frasier M, Garcia-Gancedo L, Goldsack JC, Hill D, Hitchcock J, Hu MT, Lawton MP, Lee SJ, Lindemann M, Marek K, Mehrotra N, Meinders MJ, Minchik M, Oliva L, Romero K, Roussos G, Rubens R, Sadar S, Scheeren J, Sengoku E, Simuni T, Stebbins G, Taylor KI, Yang B, Zach N.","Digit Biomark. 2020 Nov 26;4(Suppl 1):28-49. doi: 10.1159/000512500. eCollection 2020 Winter.","Stephenson D","Digit Biomark","2020","2021/01/14","PMC7768153","","10.1159/000512500"
"40611023","Understanding the public knowledge and awareness of parkinson's disease in Ireland: a cross-sectional survey","Crooks S, Mitchell G, Wynne L, Carter G.","BMC Public Health. 2025 Jul 3;25(1):2339. doi: 10.1186/s12889-025-23573-8.","Crooks S","BMC Public Health","2025","2025/07/03","PMC12224858","","10.1186/s12889-025-23573-8"
"40764154","Parkinson's Disease Detection Using Hybrid Siamese Neural Network and Support Vector Machine in Multilingual Voice Signal","Pandey PVK, Sahu SS.","J Voice. 2025 Aug 4:S0892-1997(25)00261-9. doi: 10.1016/j.jvoice.2025.06.036. Online ahead of print.","Pandey PVK","J Voice","2025","2025/08/05","","","10.1016/j.jvoice.2025.06.036"
"40535452","The global rise in Parkinson's disease: a critical analysis of causes and future directions","Leon-Rojas JE.","Front Public Health. 2025 Jun 4;13:1606732. doi: 10.3389/fpubh.2025.1606732. eCollection 2025.","Leon-Rojas JE","Front Public Health","2025","2025/06/19","PMC12174424","","10.3389/fpubh.2025.1606732"
"35961132","Harmonic ratio is the most responsive trunk-acceleration derived gait index to rehabilitation in people with Parkinson's disease at moderate disease stages","Castiglia SF, Trabassi D, De Icco R, Tatarelli A, Avenali M, Corrado M, Grillo V, Coppola G, Denaro A, Tassorelli C, Serrao M.","Gait Posture. 2022 Sep;97:152-158. doi: 10.1016/j.gaitpost.2022.07.235. Epub 2022 Jul 21.","Castiglia SF","Gait Posture","2022","2022/08/12","","","10.1016/j.gaitpost.2022.07.235"
"36931779","Reply to Rumrich and colleagues (What does ""Parkinson's disease mortality"" mean?)","Cole-Hunter T, Zhang J, Lim YH, Samoli E, Chen J, Strak M, Wolf K, Weinmayr G, Zitt E, Hoffmann B, Jöckel KH, Mortensen LH, Ketzel M, Méndez DY, Ljungman P, Nagel G, Pershagen G, Rizzuto D, Schramm S, Brunekreef B, Hoek G, Andersen ZJ.","Environ Int. 2023 Mar;173:107853. doi: 10.1016/j.envint.2023.107853. Epub 2023 Mar 15.","Cole-Hunter T","Environ Int","2023","2023/03/17","","","10.1016/j.envint.2023.107853"
"38393921","Remote Sensing Data as a Tool for Studying Environmental Aspects of Parkinson's Disease","Hegazi MN, El-Jaafary S, Shebl N, El-Fawal H, Rizig M, Salama M.","J Parkinsons Dis. 2024;14(3):619-622. doi: 10.3233/JPD-230382.","Hegazi MN","J Parkinsons Dis","2024","2024/02/23","PMC11091563","","10.3233/JPD-230382"
"39498114","The association between brominated flame retardants exposure with Parkinson's disease in US adults: a cross-sectional study of the National Health and Nutrition Examination Survey 2009-2016","Lv JJ, Zhang YC, Li XY, Zhang LJ, Yixi ZM, Yang CH, Wang XH.","Front Public Health. 2024 Oct 21;12:1451686. doi: 10.3389/fpubh.2024.1451686. eCollection 2024.","Lv JJ","Front Public Health","2024","2024/11/05","PMC11532090","","10.3389/fpubh.2024.1451686"
"32986011","Asymmetrical nigral iron accumulation in Parkinson's disease with motor asymmetry: an explorative, longitudinal and test-retest study","Guan X, Guo T, Zhou C, Wu J, Gao T, Bai X, Wei H, Zhang Y, Xuan M, Gu Q, Huang P, Liu C, Zhang B, Pu J, Song Z, Yan Y, Cui F, Zhang M, Xu X.","Aging (Albany NY). 2020 Sep 27;12(18):18622-18634. doi: 10.18632/aging.103870. Epub 2020 Sep 27.","Guan X","Aging (Albany NY)","2020","2020/09/28","PMC7585099","","10.18632/aging.103870"
"41095938","Exploring the Effectiveness of Immersive Virtual Reality Rehabilitation for Parkinson's Disease: A Narrative Review","Nartea R, Poenaru D, Constantinovici MI, Potcovaru CG, Cinteza D.","J Clin Med. 2025 Sep 28;14(19):6858. doi: 10.3390/jcm14196858.","Nartea R","J Clin Med","2025","2025/10/16","PMC12525201","","10.3390/jcm14196858"
"32712378","Polychlorinated biphenyls (PCBs) and risk of dementia and Parkinson disease: A population-based cohort study in a North Italian highly polluted area","Raffetti E, Donato F, De Palma G, Leonardi L, Sileo C, Magoni M.","Chemosphere. 2020 Dec;261:127522. doi: 10.1016/j.chemosphere.2020.127522. Epub 2020 Jul 4.","Raffetti E","Chemosphere","2020","2020/07/27","","","10.1016/j.chemosphere.2020.127522"
"39534388","Directions of Longitudinal Relationships between Housing-related Control Beliefs and Activities of Daily Living among People with Parkinson's disease","Andersson N, Iwarsson S, Ullén S, Slaug B, Nilsson MH.","Gerontol Geriatr Med. 2024 Nov 11;10:23337214241299084. doi: 10.1177/23337214241299084. eCollection 2024 Jan-Dec.","Andersson N","Gerontol Geriatr Med","2024","2024/11/13","PMC11555731","","10.1177/23337214241299084"
"38632283","Towards a methodological uniformization of environmental risk studies in Parkinson's disease","Santos-Lobato BL.","NPJ Parkinsons Dis. 2024 Apr 17;10(1):86. doi: 10.1038/s41531-024-00709-y.","Santos-Lobato BL","NPJ Parkinsons Dis","2024","2024/04/17","PMC11024193","","10.1038/s41531-024-00709-y"
"39910845","New Insights into the Association of Pesticide Exposure and Parkinson's Disease","Santos-Lobato BL.","Mov Disord. 2025 Mar;40(3):579-580. doi: 10.1002/mds.30135. Epub 2025 Feb 5.","Santos-Lobato BL","Mov Disord","2025","2025/02/06","","","10.1002/mds.30135"
"34916526","Dopamine Neuron Challenge Test for early detection of Parkinson's disease","Zhou J, Li J, Papaneri AB, Kobzar NP, Cui G.","NPJ Parkinsons Dis. 2021 Dec 16;7(1):116. doi: 10.1038/s41531-021-00261-z.","Zhou J","NPJ Parkinsons Dis","2021","2021/12/17","PMC8677804","","10.1038/s41531-021-00261-z"
"34015757","Feature selection and machine learning methods for optimal identification and prediction of subtypes in Parkinson's disease","Salmanpour MR, Shamsaei M, Rahmim A.","Comput Methods Programs Biomed. 2021 Jul;206:106131. doi: 10.1016/j.cmpb.2021.106131. Epub 2021 Apr 29.","Salmanpour MR","Comput Methods Programs Biomed","2021","2021/05/20","","","10.1016/j.cmpb.2021.106131"
"33609950","Microalbuminuria as a potential biomarker for Parkinson's disease severity: A hypothesis","Meléndez-Flores JD, Cavazos-Benítez AC, Estrada-Bellmann I.","Med Hypotheses. 2021 Apr;149:110510. doi: 10.1016/j.mehy.2021.110510. Epub 2021 Jan 26.","Meléndez-Flores JD","Med Hypotheses","2021","2021/02/20","","","10.1016/j.mehy.2021.110510"
"34231163","How far can I reach? The perception of upper body action capabilities in Parkinson's disease","Readman MR, McLatchie NM, Poliakoff E, Crawford TJ, Linkenauger SA.","Atten Percept Psychophys. 2021 Nov;83(8):3259-3274. doi: 10.3758/s13414-021-02340-y. Epub 2021 Jul 6.","Readman MR","Atten Percept Psychophys","2021","2021/07/07","PMC8260152","","10.3758/s13414-021-02340-y"
"34405101","Impulse Control Disorders in Parkinson's Disease: Has COVID-19 Related Lockdown Been a Trigger?","Rábano-Suárez P, Martínez-Fernández R, Natera-Villalba E, Pareés I, Martínez-Castrillo JC, Alonso-Canovas A.","Mov Disord Clin Pract. 2021 Jul 9;8(6):940-943. doi: 10.1002/mdc3.13276. eCollection 2021 Aug.","Rábano-Suárez P","Mov Disord Clin Pract","2021","2021/08/18","PMC8354062","","10.1002/mdc3.13276"
"34776132","Effects of a posture shirt with back active correction keeper on static and dynamic balance in Parkinson's disease","Morone G, Iosa M, Cocchi I, Paolucci T, Arengi A, Bini F, Marinozzi F, Ciancarelli I, Paolucci S, De Angelis D.","J Bodyw Mov Ther. 2021 Oct;28:138-143. doi: 10.1016/j.jbmt.2021.06.011. Epub 2021 Jun 12.","Morone G","J Bodyw Mov Ther","2021","2021/11/15","","","10.1016/j.jbmt.2021.06.011"
"38890480","Association of accelerometer-measured physical activity and incident Parkinson's disease: insights and future research directions","Chen LH, Liu T.","NPJ Digit Med. 2024 Jun 18;7(1):158. doi: 10.1038/s41746-024-01154-0.","Chen LH","NPJ Digit Med","2024","2024/06/18","PMC11187200","","10.1038/s41746-024-01154-0"
"38768570","Olfactory Dysfunction and Long-Term Trajectories of Sleep Disorders among early Parkinson's Disease: Findings from a Longitudinal Cohort","Ye M, Ji Q, Liu Q, Xu Y, Tao E, Zhan Y.","Neuroepidemiology. 2025;59(1):68-77. doi: 10.1159/000539330. Epub 2024 May 20.","Ye M","Neuroepidemiology","2025","2024/05/20","PMC11797938","","10.1159/000539330"
"34054697","A Rapid Motor Task-Based Screening Tool for Parkinsonism in Community-Based Studies","Dlamini WW, Nielsen S, Ushe M, Nelson G, Racette BA.","Front Neurol. 2021 May 13;12:653066. doi: 10.3389/fneur.2021.653066. eCollection 2021.","Dlamini WW","Front Neurol","2021","2021/05/31","PMC8155367","","10.3389/fneur.2021.653066"
"33689402","Effect of Care Rehabilitation on Medical Expenses, Care Costs, and Total Costs of Elderly Individuals with Parkinson's Disease","Liu N, Babazono A, Kim SA, Li Y.","Popul Health Manag. 2021 Dec;24(6):738-747. doi: 10.1089/pop.2020.0316. Epub 2021 Mar 9.","Liu N","Popul Health Manag","2021","2021/03/10","","","10.1089/pop.2020.0316"
"39244698","Socioenvironmental Factors are Associated With Dopamine Transporter Availability in Healthy Individuals but not in Parkinson's Disease","Cayir S, Tezel M, Matuskey D.","J Geriatr Psychiatry Neurol. 2025 Mar;38(2):143-149. doi: 10.1177/08919887241281062. Epub 2024 Sep 7.","Cayir S","J Geriatr Psychiatry Neurol","2025","2024/09/08","PMC12473387","NIHMS2110261","10.1177/08919887241281062"
"41279573","Optimized reference region and the effect on test-retest reliability and detection of Parkinson's disease with [(11)C]UCB-J","Khattar N, Matuskey D, Gallezot JD, Naganawa M, Holmes SE, Sadabad FE, Mayeli M, Esterlis I, van Dyck CH, Mecca AP, D'Souza DC, Nabulsi NB, Finnema SJ, Huang Y, Carson RE, Toyonaga T.","bioRxiv [Preprint]. 2025 Oct 15:2025.10.15.682460. doi: 10.1101/2025.10.15.682460.","Khattar N","bioRxiv","2025","2025/11/24","PMC12632983","","10.1101/2025.10.15.682460"
"40905752","Blood and cerebrospinal fluid metallomics uncover mercury, chromium, and iron alterations in de novo Parkinson's disease","Dušek P, Subramanian RG, Serranová T, Šonka K, Růžička E, Kuta J.","J Parkinsons Dis. 2025 Dec;15(8):1383-1396. doi: 10.1177/1877718X251367303. Epub 2025 Sep 4.","Dušek P","J Parkinsons Dis","2025","2025/09/04","","","10.1177/1877718X251367303"
"31950559","Parkinson disease, levodopa and the gut microbiota-when microbiology meets pharmacology","Brüssow H.","Environ Microbiol. 2020 Mar;22(3):808-812. doi: 10.1111/1462-2920.14919. Epub 2020 Jan 26.","Brüssow H","Environ Microbiol","2020","2020/01/18","","","10.1111/1462-2920.14919"
"39846578","Exploring Context Allows Us to Better Understand Physical Activity in People with and Without Parkinson's Who Have Fallen: A Mixed Methods Study","Baker K, Das J, Rochester L, Del Din S, Naisby J.","Geriatrics (Basel). 2025 Jan 7;10(1):8. doi: 10.3390/geriatrics10010008.","Baker K","Geriatrics (Basel)","2025","2025/01/23","PMC11755437","","10.3390/geriatrics10010008"
"33738711","Evidence-Based Recommendations for the Oral Health of Patients with Parkinson's Disease","Martimbianco ALC, Prosdocimi FC, Anauate-Netto C, Dos Santos EM, Mendes GD, Fragoso YD.","Neurol Ther. 2021 Jun;10(1):391-400. doi: 10.1007/s40120-021-00237-4. Epub 2021 Mar 18.","Martimbianco ALC","Neurol Ther","2021","2021/03/19","PMC8140025","","10.1007/s40120-021-00237-4"
"41090034","SHAP-based interpretable machine learning for Parkinson's disease severity prediction: integrated analysis of clinical and environmental features","Jin Y, Li X, Han X, Qiu Y, Zhang H, Xu J, Han M.","Front Neurol. 2025 Sep 29;16:1678463. doi: 10.3389/fneur.2025.1678463. eCollection 2025.","Jin Y","Front Neurol","2025","2025/10/15","PMC12515681","","10.3389/fneur.2025.1678463"
"41140317","Mixture effects of air pollutants on Parkinson's disease in adults ages 40+ in the United States from 2002 to 2016","Vu BN, Amini H, Qiu X, Feng Y, Wei Y, Schwartz J.","Environ Epidemiol. 2025 Oct 22;9(6):e425. doi: 10.1097/EE9.0000000000000425. eCollection 2025 Dec.","Vu BN","Environ Epidemiol","2025","2025/10/27","PMC12548994","","10.1097/EE9.0000000000000425"
"39546524","PATIENT WITH PARKINSON'S DISEASE AND DEPRESSIVE SYMPTOMS ASSOCIATED WITH IMPULSE CONTROL DISORDER","Migita K, Okamoto N, Ikenouchi A, Kijima R, Hashimoto T, Adachi H, Yoshimura R.","Psychiatr Danub. 2024 May;36(1):135-136. doi: 10.24869/psyd.2024.135.","Migita K","Psychiatr Danub","2024","2024/11/15","","","10.24869/psyd.2024.135"
"35338204","Author Correction: Neuroprotective effects of ATPase inhibitory factor 1 preventing mitochondrial dysfunction in Parkinson's disease","Chung I, Park HA, Kang J, Kim H, Hah SM, Lee J, Kim HS, Choi WS, Chung JH, Shin MJ.","Sci Rep. 2022 Mar 25;12(1):5203. doi: 10.1038/s41598-022-09076-1.","Chung I","Sci Rep","2022","2022/03/26","PMC8956612","","10.1038/s41598-022-09076-1"
"40201792","Effect of Short-Term Exposure to Ambient Temperatures on Parkinson's Diseases Mortality Among Elderly Aged 60 Years and Above in China, 2013-2020","Zhang R, Jia A, Zheng H, Li Y, Wang C, Wu S, Wang S, Guo Q, Wang Y, Bi P, Wu J.","Geohealth. 2025 Apr 8;9(4):e2024GH001246. doi: 10.1029/2024GH001246. eCollection 2025 Apr.","Zhang R","Geohealth","2025","2025/04/09","PMC11976458","","10.1029/2024GH001246"
"40013091","Bidirectional relationship between depression and activities of daily living and longitudinal mediation of cognitive function in patients with Parkinson's disease","Xu Y, Chen D, Dong M, Zhang Y, Yu H, Han Y.","Front Aging Neurosci. 2025 Feb 12;17:1513373. doi: 10.3389/fnagi.2025.1513373. eCollection 2025.","Xu Y","Front Aging Neurosci","2025","2025/02/27","PMC11861111","","10.3389/fnagi.2025.1513373"
"34034024","How many gait initiation trials are necessary to reliably detect anticipatory postural adjustments and first step characteristics in healthy elderly and people with Parkinson's disease?","Seuthe J, D'Cruz N, Ginis P, Blöbaum R, Weisser B, Deuschl G, Nieuwboer A, Schlenstedt C.","Gait Posture. 2021 Jul;88:126-131. doi: 10.1016/j.gaitpost.2021.05.016. Epub 2021 May 18.","Seuthe J","Gait Posture","2021","2021/05/25","","","10.1016/j.gaitpost.2021.05.016"
"40150115","A Comparative Study of Machine Learning and Deep Learning Models for Automatic Parkinson's Disease Detection from Electroencephalogram Signals","Bera S, Geem ZW, Cho YI, Singh PK.","Diagnostics (Basel). 2025 Mar 19;15(6):773. doi: 10.3390/diagnostics15060773.","Bera S","Diagnostics (Basel)","2025","2025/03/28","PMC11941155","","10.3390/diagnostics15060773"
"33130433","Signal intensity of cerebral gyri in corticobasal syndrome on phase difference enhanced magnetic resonance images: Comparison of progressive supranuclear palsy and Parkinson's disease","Miyata M, Kakeda S, Yoneda T, Ide S, Okada K, Adachi H, Korogi Y.","J Neurol Sci. 2020 Dec 15;419:117210. doi: 10.1016/j.jns.2020.117210. Epub 2020 Oct 25.","Miyata M","J Neurol Sci","2020","2020/11/01","","","10.1016/j.jns.2020.117210"
"40893506","Association between brain iron deposition and pure apathy in Parkinson's disease: a cross-sectional quantitative susceptibility mapping imaging study","Zhang L, Chen K, Zhi Y, Ji W, Shi G, You Y, Wang F, Chen K, Xu T, Fang X.","Quant Imaging Med Surg. 2025 Sep 1;15(9):8292-8308. doi: 10.21037/qims-2024-2626. Epub 2025 Aug 12.","Zhang L","Quant Imaging Med Surg","2025","2025/09/02","PMC12397670","","10.21037/qims-2024-2626"
"33427697","A novel method for automatic classification of Parkinson gait severity using front-view video analysis","Khan T, Zeeshan A, Dougherty M.","Technol Health Care. 2021;29(4):643-653. doi: 10.3233/THC-191960.","Khan T","Technol Health Care","2021","2021/01/11","PMC9789477","","10.3233/THC-191960"
"40260611","Exploring the interactions of urinary metals and the mediating role of oxidative stress in Parkinson's disease risk: an epidemiological study in the elderly","Shan C, Zheng Q, Li M, Ge Y, Bian J, Huang Z, Guo Z, Jiang Y, Xu P, Lu S, Chen H.","Environ Sci Process Impacts. 2025 May 21;27(5):1439-1447. doi: 10.1039/d5em00166h.","Shan C","Environ Sci Process Impacts","2025","2025/04/22","","","10.1039/d5em00166h"
"41381678","A novel cryptographic framework and mathematical modeling for secure transmission of Parkinson's disease data using RSA and block-based secret sharing","Sambandham T, Srivastava HM, Thangamani S, Yousif MA, Djaouti AM, Mohammed PO.","Sci Rep. 2025 Dec 12;16(1):2489. doi: 10.1038/s41598-025-32227-z.","Sambandham T","Sci Rep","2025","2025/12/11","PMC12820063","","10.1038/s41598-025-32227-z"
"40303466","The innovation and practice of the ""hand as foot"" teaching method in the teaching of Parkinson's disease","Yang J, Yang D, Yu J, Liu J.","Front Aging Neurosci. 2025 Apr 15;17:1519067. doi: 10.3389/fnagi.2025.1519067. eCollection 2025.","Yang J","Front Aging Neurosci","2025","2025/04/30","PMC12037490","","10.3389/fnagi.2025.1519067"
"33018103","Unsupervised Pre-trained Models from Healthy ADLs Improve Parkinson's Disease Classification of Gait Patterns","Som A, Krishnamurthi N, Buman M, Turaga P.","Annu Int Conf IEEE Eng Med Biol Soc. 2020 Jul;2020:784-788. doi: 10.1109/EMBC44109.2020.9176572.","Som A","Annu Int Conf IEEE Eng Med Biol Soc","2020","2020/10/06","PMC7545260","NIHMS1605050","10.1109/EMBC44109.2020.9176572"
"40070212","JLeNeT: Jaccard LeNet for Parkinson's disease detection and severity level classification using voice signal in IoT environment","Pragadeeswaran S, Kannimuthu S.","Network. 2025 Mar 12:1-30. doi: 10.1080/0954898X.2025.2453032. Online ahead of print.","Pragadeeswaran S","Network","2025","2025/03/12","","","10.1080/0954898X.2025.2453032"
"41076900","Green analytical methods for simultaneous determination of levodopa, carbidopa, and benserazide in Parkinson's drugs: The preferable superiority of the capillary electrophoresis comparing to the standard high performance liquid chromatography","Nguyen TD, Tu TH, Nguyen TMT, Nguyen MH, Duong HA, Pham HV.","J Chromatogr A. 2025 Nov 22;1763:466443. doi: 10.1016/j.chroma.2025.466443. Epub 2025 Oct 5.","Nguyen TD","J Chromatogr A","2025","2025/10/12","","","10.1016/j.chroma.2025.466443"
"37449354","Rare-variant collapsing and bioinformatic analyses for amyloidosis, dementia and Parkinson's disease in the UK biobank reveal novel susceptibility loci","Zöller B, Manderstedt E, Lind-Halldén C, Halldén C.","Amyloid. 2023 Dec;30(4):442-444. doi: 10.1080/13506129.2023.2226299. Epub 2023 Jul 14.","Zöller B","Amyloid","2023","2023/07/14","","","10.1080/13506129.2023.2226299"
